Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Return Percent,Dividend Yield
1871-01-01,4.44,0.26,0.4,12.46,5.32,85.65,5.02,7.72,,0.058558559
1871-02-01,4.5,0.26,0.4,12.84,5.32,84.24,4.87,7.49,,0.057777778
1871-03-01,4.61,0.26,0.4,13.03,5.33,85.04,4.8,7.38,,0.056399132
1871-04-01,4.74,0.26,0.4,12.56,5.33,90.75,4.98,7.66,,0.054852321
1871-05-01,4.86,0.26,0.4,12.27,5.33,95.21,5.09,7.84,,0.053497942
1871-06-01,4.82,0.26,0.4,12.08,5.34,95.91,5.17,7.96,,0.053941909
1871-07-01,4.73,0.26,0.4,12.08,5.34,94.12,5.17,7.96,,0.054968288
1871-08-01,4.79,0.26,0.4,11.89,5.34,96.84,5.26,8.09,,0.054279749
1871-09-01,4.84,0.26,0.4,12.18,5.35,95.56,5.13,7.9,,0.053719008
1871-10-01,4.59,0.26,0.4,12.37,5.35,89.23,5.05,7.78,,0.05664488
1871-11-01,4.64,0.26,0.4,12.37,5.35,90.2,5.05,7.78,,0.056034483
1871-12-01,4.74,0.26,0.4,12.65,5.36,90.07,4.94,7.6,0.067567568,0.054852321
1872-01-01,4.86,0.26,0.4,12.65,5.36,92.35,5,7.65,0.08,0.053497942
1872-02-01,4.88,0.27,0.41,12.65,5.38,92.73,5.07,7.7,0.05856833,0.055327869
1872-03-01,5.04,0.27,0.41,12.84,5.4,94.35,5.05,7.63,0.063291139,0.053571429
1872-04-01,5.18,0.27,0.41,13.13,5.42,94.86,5,7.51,0.065843621,0.052123552
1872-05-01,5.18,0.28,0.41,13.13,5.43,94.86,5.07,7.55,0.074688797,0.054054054
1872-06-01,5.13,0.28,0.41,13.03,5.45,94.63,5.17,7.66,0.084566596,0.054580897
1872-07-01,5.1,0.28,0.42,12.84,5.47,95.47,5.3,7.82,0.064718163,0.054901961
1872-08-01,5.04,0.29,0.42,12.94,5.49,93.65,5.33,7.8,0.041322314,0.057539683
1872-09-01,4.95,0.29,0.42,13.03,5.51,91.31,5.35,7.79,0.078431373,0.058585859
1872-10-01,4.97,0.29,0.42,12.75,5.52,93.73,5.53,8.02,0.07112069,0.058350101
1872-11-01,4.95,0.3,0.43,13.13,5.54,90.65,5.43,7.83,0.044303797,0.060606061
1872-12-01,5.07,0.3,0.43,12.94,5.56,94.21,5.57,7.99,0.043209877,0.059171598
1873-01-01,5.11,0.3,0.43,12.94,5.58,94.96,5.62,8.04,0.047131148,0.058708415
1873-02-01,5.15,0.3,0.43,13.23,5.57,93.63,5.55,7.91,0.021825397,0.058252427
1873-03-01,5.11,0.31,0.44,13.23,5.56,92.91,5.59,7.95,-0.013513514,0.060665362
1873-04-01,5.04,0.31,0.44,13.23,5.55,91.63,5.64,8,-0.027027027,0.061507937
1873-05-01,5.05,0.31,0.44,12.94,5.54,93.84,5.81,8.22,-0.015594542,0.061386139
1873-06-01,4.98,0.32,0.45,12.56,5.53,95.34,6.03,8.52,-0.023529412,0.064257028
1873-07-01,4.97,0.32,0.45,12.56,5.53,95.15,6.08,8.57,-0.013888889,0.064386318
1873-08-01,4.97,0.32,0.45,12.56,5.52,95.15,6.13,8.62,0.004040404,0.064386318
1873-09-01,4.59,0.32,0.45,12.56,5.51,87.88,6.17,8.66,-0.076458753,0.069716776
